4977	0	37826	443403	NR	halvaro	9/22/04 4:05 PM	1.0958691E12	WD40??????????	Hi I would like to know what is WD40 , sorry I am from Mexico maybe it is aproduct i don't know.
4977	71	37826	566357	443403	Tavo	11/26/04 2:03 AM	1.10143458E12	Re: WD40??????????	My brother sent me this long time ago. And I couldn't resist posting it. I don't know if the story is true but it sure does some of the stuff. WD-40 was created in 1953 by three technicians at the San Diego Rocket Chemical Company. It's name comes from the project that was to find a &quot;water displacement&quot; compound. They were successful with the fortieth formulation, thus WD-40. The Corvair Company bought it in bulk to protect their Atlas missile parts. The workers were so pleased with the product, they began smuggling (also known as &quot;shrinkage&quot; or &quot;stealing&quot;) it out to use at home. The executives decided there might be a consumer market for it and put it in aerosol cans. The rest, as they say, is history. It is a carefully guarded recipe known only to four people. Only one of them is the &quot;brew master.&quot; There are about 2.5 million gallons of the stuff manufactured each year. It gets it's distinctive smell from a fragrance that is added to the brew. Ken East says there is nothing in WD-40 that would hurt you. Here are some of the uses: Protects silver from tarnishing Cleans and lubricates guitar strings Gets oil spots off concrete driveways Gives floors that 'just-waxed' sheen without making it slippery Keeps flies off cows Restores and cleans chalkboards Removes lipstick stains Loosens stubborn zippers Untangles jewelry chains Removes stains from stainless steel sinks Removes dirt and grime from the barbecue grill Keeps ceramic/terra cotta garden pots from oxidizing Removes tomato stains from clothing Keeps glass shower doors free of water spots Camouflages scratches in ceramic and marble floors Keeps scissors working smoothly Lubricates noisy door hinges on vehicles and doors in homes Gives a children's play gym slide a shine for a super fast slide Lubricates gear shift and mower deck lever for ease of handling on riding mowers Rids rocking chairs and swings of squeaky noises Lubricates tracks in sticking home windows and makes them easier to open Spraying an umbrella stem makes it easier to open and close Restores and cleans padded leather dashboards in vehicles, as well as vinyl bumpers Restores and cleans roof racks on vehicles Lubricates and stops squeaks in electric fans Lubricates wheel sprockets on tricycles, wagons and bicycles for easy handling Lubricates fan belts on washers and dryers and keeps them running smoothly Keeps rust from forming on saws and saw blades, and other tools Removes splattered grease on stove Keeps bathroom mirror from fogging Lubricates prosthetic limbs Keeps pigeons off the balcony (they hate the smell) Removes all traces of duct tape I have even heard of folks spraying it on their arms, hands, knees to relieve arthritis pain. One fellow claims spraying it on fishing lures attracts fish. WD-40 has been designated the &quot;official multi-purpose problem-solver of NASCAR,&quot; a ringing endorsement if there ever was one. Can WD-40 solve the Jeff Gordon problem? In celebration of their 50th year, the company conducted a contest to learn the favorite uses of it's customers and fan club members, (Yes, there is a WD-40 Fan Club). They compiled the information to identify the favorite use in each of the 50 states. I was curious about Georgia and Alabama and found the favorite use in both states was that it &quot;penetrates stuck bolts, lug nuts, and hose ends.&quot; Florida's favorite use was &quot;cleans and removes lovebugs from grills and bumpers.&quot; California's favorite use was penetrating the bolts on the Golden Gate Bridge. Let me close with one final, wonderful use -- the favorite use in the State of New York --WD-40 protects the Statue of Liberty from the elements. No wonder they've had 50 successful years
4977	72	37826	566451	443686	yneal	11/26/04 3:31 AM	1.10143986E12	Re: Trivia. . .	The full name is Water Dispersant 40
4977	73	37826	566549	443403	thompsonf	11/26/04 4:37 AM	1.10144382E12	Re: WD40??????????	Hi , W D 40 is a product sold in the UK , it is an anti-release spray, I think it is silicon based , it was developed here in the UK around the 2nd world war . I understand that the name is the continuation of the code used for it during its development . when ready for sale to general public the name was just carried on . Facts are as true as I understand them I have used WD 40 for many years , its great as an anti rust protector as well. cheers F T
4977	74	37826	566553	443403	mburnet	11/26/04 4:39 AM	1.10144394E12	Re: WD40??????????	The product began from a search for a rust preventative solvent and de-greaser to protect missile parts. WD-40 was created in 1953 by three technicians at the San Diego Rocket Chemical Company. It's name comes from the project that was to find a &quot;water displacement&quot; compound. They were successful with the fortieth formulation, thus WD-40. The Corvair Company bought it in bulk to protect their Atlas missile parts. The workers were so pleased with the product, they began smuggling (also known as &quot;shrinkage&quot; or &quot;stealing&quot;) it out to use at home. The executives decided there might be a consumer market for it and put it in aerosol cans. The rest, as they say, is history. It is a carefully guarded recipe known only to four people. Only one of them is the &quot;brew master.&quot; There are about 2.5 million gallons of the stuff manufactured each year. It gets it's distinctive smell from a fragrance that is added to the brew. Ken East says there is nothing in WD-40 that would hurt you. Here are some of the uses: Protects silver from tarnishing Cleans and lubricates guitar strings Gets oil spots off concrete driveways Gives floors that 'just-waxed' sheen without making it slippery Keeps flies off cows Restores and cleans chalkboards Removes lipstick stains Loosens stubborn zippers Untangles jewelry chains Removes stains from stainless steel sinks Removes dirt and grime from the barbecue grill Keeps ceramic/terra cotta garden pots from oxidizing Removes tomato stains from clothing Keeps glass shower doors free of water spots Camouflages scratches in ceramic and marble floors Keeps scissors working smoothly Lubricates noisy door hinges on vehicles and doors in homes Gives a children's play gym slide a shine for a super fast slide Lubricates gear shift and mower deck lever for ease of handling on riding mowers Rids rocking chairs and swings of squeaky noises Lubricates tracks in sticking home windows and makes them easier to open Spraying an umbrella stem makes it easier to open and close Restores and cleans padded leather dashboards in vehicles, as well as vinyl bumpers Restores and cleans roof racks on vehicles Lubricates and stops squeaks in electric fans Lubricates wheel sprockets on tricycles, wagons and bicycles for easy handling Lubricates fan belts on washers and dryers and keeps them running smoothly Keeps rust from forming on saws and saw blades, and other tools We're not through. Here's more; Removes splattered grease on stove Keeps bathroom mirror from fogging Lubricates prosthetic limbs Keeps pigeons off the balcony (they hate the smell) Removes all traces of duct tape I have even heard of folks spraying it on their arms, hands, knees, etc., to relieve arthritis pain. One fellow claims spraying it on fishing lures attracts fish. WD-40 has been designated the &quot;official multi-purpose problem-solver of NASCAR,&quot; a ringing endorsement if there ever was one. I told my NASCAR loving sons about this and they said they couldn't imagine how WD-40 can solve the Jeff Gordon problem. In celebration of their 50th year, the company conducted a contest to learn the favorite uses of it's customers and fan club members, (Yes, there is a WD-40 Fan Club). They compiled the information to identify the favorite use in each of the 50 states. Naturally I was curious about Georgia and Alabama and found the favorite use in both states was that it &quot;penetrates stuck bolts, lug nuts, and hose ends.&quot; Florida's favorite use was &quot;cleans and removes lovebugs from grills and bumpers.&quot; California's favorite use was penetrating the bolts on the Golden Gate Bridge. Let me close with one final, wonderful use--the favorite use in the State of New York--WD-40 protects the Statue of Liberty from the elements.
4977	75	37826	566639	443403	Unknown	11/26/04 5:31 AM	1.10144706E12	Re: WD40??????????	I am also new and woild like to know about WD40; also anything like duct tape!! With these I might be able to do something constructive with this darn computer:-))
4977	76	37826	566693	443403	kc9mh	11/26/04 5:50 AM	1.1014482E12	A great material	WD-40 celebrates 50 years The product began from a search for a rust preventative solvent and de-greaser to protect missile parts. WD-40 was created in 1953 by three technicians at the San Diego Rocket Chemical Company. It's name comes from the project that was to find a &quot;water displacement&quot; compound. They were successful with the fortieth formulation, thus WD-40. The Corvair Company bought it in bulk to protect their Atlas missile parts. The workers were so pleased with the product, they began smuggling (also known as &quot;shrinkage&quot; or &quot;stealing&quot;) it out to use at home. The executives decided there might be a consumer market for it and put it in aerosol cans. The rest, as they say, is history. It is a carefully guarded recipe known only to four people. Only one of them is the &quot;brew master.&quot; There are about 2.5 million gallons of the stuff manufactured each year. It gets it's distinctive smell from a fragrance that is added to the brew. Ken East says there is nothing in WD-40 that would hurt you. Here are some of the uses: Removes stains from stainless steel sinks Keeps glass shower doors free of water spots Removes splattered grease on stove Removes all traces of duct tape Protects silver from tarnishing Cleans and lubricates guitar strings Gets oil spots off concrete driveways Gives floors that 'just-waxed' sheen without making it slippery Keeps flies off cows Restores and cleans chalkboards Removes lipstick stains Loosens stubborn zippers Untangles jewelry chains Removes dirt and grime from the barbecue grill Keeps ceramic/terra cotta garden pots from oxidizing Removes tomato stains from clothing Camouflages scratches in ceramic and marble floors Keeps scissors working smoothly Lubricates noisy door hinges on vehicles and doors in homes Gives a children's play gym slide a shine for a super fast slide Lubricates gear shift and mower deck lever for ease of handling on riding mowers Rids rocking chairs and swings of squeaky noises Lubricates tracks in sticking home windows and makes them easier to open Spraying an umbrella stem makes it easier to open and close Restores and cleans padded leather dashboards in vehicles, as well as vinyl bumpers Restores and cleans roof racks on vehicles Lubricates and stops squeaks in electric fans Lubricates wheel sprockets on tricycles, wagons and bicycles for easy handling Lubricates fan belts on washers and dryers and keeps them running smoothly Keeps rust from forming on saws and saw blades, and other tools Keeps bathroom mirror from fogging Lubricates prosthetic limbs Keeps pigeons off the balcony (they hate the smell) I have even heard of folks spraying it on their arms, hands, knees, etc., to relieve arthritis pain. One fellow claims spraying it on fishing lures attracts fish. WD-40 has been designated the &quot;official multi-purpose problem-solver of NASCAR,&quot; a ringing endorsement if there ever was one. I told my NASCAR loving sons about this and they said they couldn't imagine how WD-40 can solve the Jeff Gordon problem. In celebration of their 50th year, the company conducted a contest to learn the favorite uses of it's customers and fan club members, (Yes, there is a WD-40 Fan Club). They compiled the information to identify the favorite use in each of the 50 states. Naturally I was curious about Georgia and Alabama and found the favorite use in both states was that it &quot;penetrates stuck bolts, lug nuts, and hose ends.&quot; Florida's favorite use was &quot;cleans and removes lovebugs from grills and bumpers.&quot; California's favorite use was penetrating the bolts on the Golden Gate Bridge. Let me close with one final, wonderful use--the favorite use in the State of New York--WD-40 protects the Statue of Liberty from the elements. No wonder they have had 50 successful years
4977	77	37826	566696	443403	caikenjr	11/26/04 5:50 AM	1.1014482E12	Re: WD40??????????	There is an old saying. &quot;If it should move and does not, put WD40 on it. If it moves and should not, put duct tape on it&quot;. I have heard that some people actually rub their elbows with WD40 for arthritis pain. I have read that some doctors &quot;rinse&quot; the Vagina cavity with WD40 for certain problems. I know it is one of the best developments to come along in some time. I use it to loosen bolts and screws that won't come loose. I use it to stop hinges from squeeking. I use it for all around maintenance to keep rust off tools, etc. Charles Aiken
4977	78	37826	566700	461418	budd38	11/26/04 5:52 AM	1.10144832E12	Re: It's a light oil/lubricant. Ususally in a spray can.	This is good stuff, it is like duct tape you can use it on everything and it works.
4977	79	37826	566714	447294	Lloyd K	11/26/04 5:57 AM	1.10144862E12	Re: WD40??????????	Caution if you are a shooter, do not allow WD 40 to come in contact with your cartridge primers. It's penetrating ability has been known to cause primers to fail or misfire. Either could be very dangerous. I have used WD 40 for many years on my hunting arms and am careful that any excess is wiped off and that the ammunition does not come in contact with the solvents in WD 40.
4977	80	37826	566746	443403	iambonami	11/26/04 6:07 AM	1.10144922E12	Re: WD40??????????	WD40 comes in a spray can. I use this ( a household must have) for things that squeek ,to remove tape residue,for things that stick.I do not think i would use this on the computer however.
4977	81	37826	566760	458419	Unknown	11/26/04 6:10 AM	1.1014494E12	Re: (NT) Re: Water displacement	Yep and the most important item it to find water in rust and loosen. Works good.
4977	82	37826	566789	447294	gthurman	11/26/04 6:18 AM	1.10144988E12	Re: WD40??caution	When WD-40 appeared in the early '70s, we thought it would be great for drive motor lubrication of computer tape drives. It was for a few days. Then the shafts seized. What remained after the volitale agents were evaporated was approximately 70 weight oil according to our lab. I always judge if what I want to spray, over a long term, can tolerate 70 weight oil.
4977	83	37826	566832	462670	Panzer	11/26/04 6:29 AM	1.10145054E12	Re: It's a light oil/lubricant. Ususally in a spray can.	I remember years ago whne seniors used to turn up at the power company work centre looking to fill jars with transformer oil (Containing PCB's) for the same reason. They did claim it to be benefical. No one knows what the long term effects of such an exposure was and I suspect that the dangers may just outweigh the benefits.
4977	84	37826	566873	443403	DreamsInChrome	11/26/04 6:39 AM	1.10145114E12	Re: WD40?????????? Super Lubricant	WD-40 is among other things: a lubricant, an anti-corrosive, and a water remover. It really has almost unlimited uses. According to their site, It's 5 primary uses are: 1. CLEANS: WD-40 gets under dirt, grime and grease to clean. It also dissolves adhesives, allowing easy removal of labels, tape and excess bonding material. 2. DISPLACES MOISTURE: Because WD-40 displaces moisture, it quickly dries out electrical systems to eliminate moisture-induced short circuits. 3. PENETRATES: WD-40 loosens rust-to-metal bonds and frees stuck, frozen or rusted metal parts. 4. LUBRICATES: WD-40's lubricating ingredients are widely dispersed and tenaciously held to all moving parts. 5. PROTECTS: WD-40 protects metal surfaces with corrosion-resistant ingredients to shield against moisture and other corrosive elements. For more info, go to www.wd40.com
4977	85	37826	566890	443403	espaus	11/26/04 6:44 AM	1.10145144E12	Re: WD40??????????	Hi Halvaro, WD 40 is a lubricant for lubricating mechanical parts of a m/c. It should never be used on elctronic compnents or where there is a mix of electronic & mechanical. Many years ago when I worked for IBM we were advised not to use WD40 due to poblems caused by inhaling the fumes. Good computing.
4977	86	37826	566891	443403	love2win	11/26/04 6:44 AM	1.10145144E12	Re: WD40??????????	It's got lots of uses beyond just lubrication. For example, have you ever had 3-ring binders where laser print transferred to the binder covers? Just spray with WD-40 and wipe with a paper towel -- the binder is like new! It is great for hinges that are stuck or for any other task that requires a light lubricant and comes with a slender tube to attach to the nozzle to direct the spray into a small space.
4977	87	37826	566922	457608	jstropp	11/26/04 6:50 AM	1.1014518E12	Wonder Drug	It is also great for jock itch. Spray it on, light it, you'll have it.
4977	88	37826	567031	443403	larry123	11/26/04 7:24 AM	1.10145384E12	Re: WD40??????????	WD-40. Water Displacement, chemical mixture #40. It's one of 3 thing all house holds should have on hand. Duct tape is the other thing. &lt;BG&gt; Larry.
4977	89	37826	567077	443403	towser--2008	11/26/04 7:38 AM	1.10145468E12	Re: WD40??????????	WD 40 is ok but a better anti-corrosion option is ACF 50 which is used in the aircraft industry.It protects,penetrates and lubricates. It prevents and deactivates corrosion on metals and safely lubricates and penetrates mechanisms.
4977	90	37826	567129	443403	xpane	11/26/04 7:52 AM	1.10145552E12	Re: WD40??????????	WD-40 is a special light oil type of coating sold in aerosol cans. It was developed by NASA scentists in the early sixties to prevent rust and other contaminants from destroying critical space hardware with great results. The name is derived from the letters WD, which mean Wipe Down. The 40 refers to the number of formulas they used before finding the one that worked. Thus Wipe Down 40, or WD-40. Don't think I'd spray it near my computer though.
4977	91	37826	567137	567077	eas49ers	11/26/04 7:54 AM	1.10145564E12	Re: WD40??????????	WD40 initials are for Water Displacement formula 40. This formula is a silicone dispersion that was made for lowering the surface tension and was not initially intended for a lubricant.
4977	92	37826	567153	485679	zed	11/26/04 7:57 AM	1.10145582E12	Re: WD 40 BECAREFULL	if you were using it at work, you should have had the MSDS available to reference and known that it has carcinogins in it, but in very small amounts and it would take you years of breathing straight WD-40 to get enough to be a problem. some &quot;Joint Health and Safety Committee&quot; you have....
4977	93	37826	567207	461645	ronjie	11/26/04 8:13 AM	1.10145678E12	Re: WD40??????????	Well...just for the labels and stuff.. I've tried a product called goo gone... now for the stickey stuff... this is great... Ronjie
4977	94	37826	567220	443403	sticstac67	11/26/04 8:16 AM	1.10145696E12	Re: WD40??????????	HERE'San &gt;When you read the &quot;shower door&quot; part, try it. It's the first thing that has cleaned that spotty shower door. If yours is plastic, it works just as well as glass. It's a miracle! Then try it on your stovetop... Viola! It's now shinier than it's ever been. You'll be amazed. &gt; &gt;The product began from a search for a rust preventative solvent and degreaser to protect missile parts. WD-40 was created in 1953 by three technicians at the San Diego Rocket Chemical Company. Its name comes from the project that was to find a &quot;water displacement&quot; compound. They were successful with the fortieth formulation, thus WD-40. &gt; &gt;The Corvair Company bought it in bulk to protect their Atlas missile parts. The workers were so pleased with the product, they began smuggling (also known as &quot;shrinkage&quot; or &quot;stealing&quot;) it out to use at home. The executives decided there might be a consumer market for it and put it in aerosol cans. The rest, as they say, is history. &gt; &gt;It is a carefully guarded recipe known only to four people. Only one of them is the &quot;brew master.&quot; There are about 2.5 million gallons of the stuff manufactured each year. It gets it's distinctive smell from a fragrance that is added to the brew. Ken East (one of the original founders) says there is nothing &gt;in WD-40 that would hurt you. &gt; &gt;Here are some of the uses: &gt; &gt;Protects silver from tarnishing &gt;Cleans and lubricates guitar strings &gt;Gets oil spots off concrete driveway &gt; &gt;Makes watching the Jets lose to the Steelers that much less painful an experience &gt; &gt;Gives floors that 'just-waxed' sheen without making it slippery &gt;Keeps flies off cows &gt;Restores and cleans chalkboards &gt;Removes lipstick stains &gt;Loosens stubborn zippers &gt;Untangles jewelry chains &gt;Removes stains from stainless steel sinks &gt;Removes dirt and grime from the barbecue grill &gt;Keeps ceramic/terra cotta garden pots from oxidizing &gt;Removes tomato stains from clothing &gt;Keeps glass shower doors free of water spots &gt;Camouflages scratches in ceramic and marble floors &gt;Keeps scissors working smoothly &gt;Lubricates noisy door hinges on vehicles and doors in homes &gt;Gives a children's play gym slide a shine for a super fast slide &gt;Lubricates gear shift and mower deck lever for ease of handling on riding mowers &gt;Rids rocking chairs and swings of squeaky noises &gt;Lubricates tracks in sticking home windows and makes them easier to open &gt;Spraying an umbrella stem makes it easier to open and close &gt;Restores and cleans padded leather dashboards in vehicles, as well as vinyl bumpers &gt;Restores and cleans roof racks on vehicles &gt;Lubricates and stops squeaks in electric fans &gt;Lubricates wheel sprockets on tricycles, wagons and bicycles for easy handling &gt;Lubricates fan belts on washers and dryers and keeps them running smoothly &gt;Keeps rust from forming on saws and saw blades, and other tools &gt;Removes splattered grease on stove &gt;Keeps bathroom mirror from fogging &gt;Lubricates prosthetic limbs &gt;Keeps pigeons off the balcony (they hate the smell) &gt;Removes all traces of duct tape &gt;I have even heard of folks spraying it on their arms, hands, and knees to relieve arthritis pain. &gt;Florida's favorite use was &quot;cleans and removes love bugs from grills and bumpers &gt;The favorite use in the state of New York--WD-40 protects the Statue of Liberty from the elements. &gt;WD-40 attracts fish. Spray a LITTLE on live bait or lures and you will be catching the big one in no time. Also it's a lot cheaper than the chemical attractants that are made for just that purpose. Keep in mind though, using some chemical laced baits or lures for fishing are not allowed in some states. &gt;Use it for fire ant bites It takes the sting away immediately, and stops the itch. &gt;WD-40 is great for removing crayon from walls. Spray on the mark and wipe with a clean rag. &gt;Also, if you've discovered that your teenage daughter has washed and dried a tube of lipstick with a load of laundry, saturate the lipstick spots with WD-40 and rewash. Presto! Lipstick is gone! &gt;If you sprayed WD-40 on the distributor cap, it would displace the moisture and allow the car to start.(If I knew what a distributor cap was, it might help) &gt;WD-40, long known for its ability to remove leftover tape mung (sticky label tape), is also a lovely perfume and air freshener! Sprayed liberally on every hinge in the house, it leaves that distinctive clean fresh scent for up to two days! &gt;Seriously though, it removes black scuff marks from the kitchen floor! &gt;Use WD-40 for those nasty tar and scuff marks on flooring. It doesn't seem to harm the finish and you won't have to scrub nearly as hard to get them off. &gt;Just remember to open some windows if you have a lot of marks. &gt;Bug guts will eat away the finish on your car if not removed quickly! &gt;Use WD-40! &gt; &gt;The applications appear to be endless e-mail I recieved from my friend
4977	95	37826	567257	443403	solo1874	11/26/04 8:24 AM	1.10145744E12	Re: WD40??????????	Hello WD40 is usually an aerosol based cleaner / lubricant that penetrates and lubricates delicate or not so delicate items. It can also be used for freeing up nuts and bolts and works well on cooling fan bearings on cpu's
4977	96	37826	567273	566693	chezgreenwald	11/26/04 8:29 AM	1.10145774E12	Re: A great material	WD-40 is indeed a wonderful product. A better penetrating product for purposes of loosening frozen bolts or breaking down rust, is Kano's Sili-Kroil. It is also an excellent cutting oil. Manufactured by Kano Laboratories in Nashville, TN.
4977	97	37826	567298	443686	SRenn	11/26/04 8:36 AM	1.10145816E12	Re: Trivia. . .	WD stands for water displacement
4977	98	37826	567301	567207	Earthquake McGoon	11/26/04 8:36 AM	1.10145816E12	Re: WD40??????????	A fine vintage of penetrating oil used for loosening rusted nuts(?). An ingredient in my Kickapoo Joyjuice.
4977	99	37826	567420	443430	hazgeek	11/26/04 9:24 AM	1.10146104E12	Re: It's a light oil/lubricant. Ususally in a spray can.	According to the WD-40 Company: &quot;WD-40 literally stands for Water Displacement, 40th attempt. That's the name straight out of the lab book used by the chemist who developed WD-40 back in 1953. The chemist, Norm Larsen, was attempting to concoct a formula to prevent corrosion - a task which is done by displacing water. Norm's persistence paid off when he perfected the formula on his 40th try.&quot; WD-40 was invented in 1953, by the three members of the Rocket Chemical Company of San Diego, California. They were working on a line of industrial rust-prevention solvents and degreasers for use in the aerospace industry. WD-40 was first used to protect the outer skin of the Atlas Missile from rust and corrosion. Norm Larsen then repackaged WD-40 into aerosol cans for consumer use and the product was first sold to the general public in 1958. In 1969, the Rocket Chemical Company was renamed after its only product, WD-40.
4977	100	37826	567493	443403	jarnkm	11/26/04 9:48 AM	1.10146248E12	Re: WD40??????????	WD40 may be fine for certain uses on computer systems but, the items must remain in an environment that is as low in humidity as you can get. Otherwise, the humidity will allow rust to reapear on the cleaned surface. In other words, it might work great in Arizona but, don't plan on the same results here, in South Alabama! Being an avid hunter, I tried it when it became popular to use on firearms and paid the price for not keeping constant check on them. For it's quality to loosen rested,frozen bolts/screws, it is easily surpassed but B'Laster, found in Wal Mart and most automotive parts stores. IF you desire fast work on rusted or sticking parts and a remaining thin coat of lubricant, this should be your &quot;weapon of choice&quot;. It's accomplishments read like a &quot;Jack of All Trades&quot; product. BUT....this is my automotive and sports related background speaking....not that of my limied computer experience. My suggestion: Read the labels on each product, check their corresponding web sites for their products usage, get a small can of each and evaluate them yourself....for your personal usage. What works for one, does not always satisfy the other. Have a good day....just my personal opinion.
4977	101	37826	567551	457973	rmjboog	11/26/04 9:59 AM	1.10146314E12	Re: WD40??????????	Does the same thing for earwigs, which I find a lot more offensive than wasps...
4977	102	37826	567556	567493	jarnkm	11/26/04 10:00 AM	1.1014632E12	Re: WD40??????????	I entirely missed this most important point that was discovered by many older sufferers of Arthritis....believe it or not....when a light coat is sprayed on certain joints, inflamed with Arthritis, the pain, in many instances, is reduced tremendously. Since I have been so unlucky to have become problemed with this physical ailment, I have to attest to the fact thay they were right! It might not help your computer but, it could aid in the reduction of pain in the Arthritic fingers and hands, during an extensive round on the keyboard. Just a passing thought that might help you when you get older. It's much cheaper than some of the meds but, it does have an odor that some don't like. Just remember, getting old doesn't mean you are supposed to get stupid, too.
4977	103	37826	567605	567077	rmjboog	11/26/04 10:11 AM	1.10146386E12	Re: WD40??????????	I found a different product once some years ago. I won't say it's better than WD-40 (I don't think anything can be...). This stuff was just a penetrating oil for loosening rusted-on nuts and such. I've kept the can ever since, just because I got a chuckle from the name...it was called &quot;Nuts Off&quot;. For a practical joke type of person, the possibilities are endless.
4977	104	37826	567735	443403	skycatcher	11/26/04 10:39 AM	1.10146554E12	Re: WD40??????????	Originally formulated for use on the circuitry in the Saturn Rockets - that goes back a bit. NEVER use it on computer fans and Printer parts.... It works OK on the day but then dries to a sticky black gunk and jams everything up. Water displacement on cars and rusty bolts is fine but keep it away from PCs and Printers.
4977	105	37826	567747	443403	ibop	11/26/04 10:44 AM	1.10146584E12	From A Scientist	WD-40 is very useful stuff when used carefully and in the correct application. Most of the good properties come from the fact it is based on solvents, which will react with things then evaporate and thus remove them. This is particularly noticeable is applications involving Hydrocarbons, most notably in crude oil derived substances such as lubricating oils, cooking oils, greases and various fuels. This is why it is so good at many cleaning applications, particularly in the kitchen, as the polarity of the solvent will break down the bonds. The polarity is also responsible for the water displacement, as the water will also evaporate in the same fashion. But enough of chemistry. It should not be seen as a genuine lubricant. Yes it does help things to slide past each other in the short term, but once the solvents have evaporated residues are left behind which can actually cause problems in itself, so by solving one problem you can cause another. I work for a major petrochemicals company in the lubricants division and I'm not going to name it, but from my work it is very obvious to me that there are very few lubricant products that are suitable for every task, you wouldn't cook with the oil that you put in your car and so the same principles should be applied to the use of WD-40. Having said all that, it is good at a lot of things, but you must always bear in mind it does evaporate so will often be a short term solution and lubricating oils or greases should be considered in most applications, there are many oils around which arent black and thick and gloopy like that which you put into your car and the technology around is such that there are many oils/grease designed for the specific application which whilst costing slightly more than WD-40 would do will do the job better and for longer.
4977	106	37826	567933	443403	coot540	11/26/04 11:33 AM	1.10146878E12	Re: WD40??????????	WD-40: A friend sent this to me, and when I read the &quot;shower door&quot; part I tried it. It's the first thing that has ever cleaned that spotty shower door. Mine is plastic, not glass and it's a miracle! Then I tried my stove top.... it's now shinier than it's ever been. I'm amazed. The product began from a search for a rust preventative solvent and de-greaser to protect missile parts. WD-40 was created in 1953 by three technicians at the San Diego Rocket Chemical Company. It's name comes from the project that was to find a &quot;Water Displacement&quot; compound. They were successful with the fortieth formulation, thus WD-40. The Corvair Company bought it in bulk to protect their Atlas missile parts. The workers were so pleased with the product, they began smuggling (also known as &quot;shrinkage&quot; or &quot;stealing&quot;) it out to use at home. The executives decided there might be a consumer market for it and put it in aerosol cans. The rest - is history. It is a carefully guarded recipe known only to four people. Only one of them is the &quot;brew master.&quot; There are about 2.5 million gallons of the stuff manufactured each year. It gets it's distinctive smell from a fragrance that is added to the brew. Ken East says there is nothing in WD-40 that would hurt you. Here are some of the uses:
4977	107	37826	568043	443403	orism	11/26/04 12:22 PM	1.10147172E12	Re: WD40??????????	Halvaro, the man who invented WD 40 named the product. He developed the final product after the 40th attempt. The WD stands for &quot;Water Displacement&quot;. Frank
4977	108	37826	568046	443403	sgt.bilko	11/26/04 12:24 PM	1.10147184E12	Re: WD40??????????	Ahhhhhh WD 40 what a smell. I remember when I was an apprentice motor mechanic working at Brook Hire in Garston we used to spray it all over the spark plug leads and the dizzy cap when a car wouldn't start because it was damp. We used to go thru A LARGE number of cans because it smelt so good. Not a &quot;getting you high&quot; smell but a &quot;coal tar&quot; type smell. Really really nice.
4977	109	37826	568056	443403	izzjuzzme	11/26/04 12:31 PM	1.10147226E12	Re: WD40??????????	being so this is a pc hardware forum i would guess that the wd40 you are referring to is western digital 40 gig hard drive, but thats just my guess.
4977	110	37826	568113	443403	sweetooth	11/26/04 12:56 PM	1.10147376E12	Re: WD40??????????	Well, it might just be the Product, used to lubricate things ---&gt; http://www.wd40.com/ Or it may be a Western Digital hard drive
4977	111	37826	568132	447302	cmpenchina	11/26/04 1:04 PM	1.10147424E12	Re: WD40...history link WarningAbout Plastics.	Works great as water displacer and as long term lube. They used to (maybe still do) sell it much cheaper (per unit cost) in gallons. They also sell a refillable hand operated sprayer (at high cost) so I used leftover sprayers from household cleaners. They worked well for only about a day or two. The company tech support explained that WD40 causes plastic parts to swell, and kills the spraying action. they had to make a very special sprayer to work with WD40. So be careful when using around plastics. The effect may not be good.(They don't seem to supply this warning).
4977	112	37826	568157	443403	kynomad52003	11/26/04 1:19 PM	1.10147514E12	Re: WD40??????????	WD-40 is a anti sieze spray to loosen rusted bolts. Sometimes used to dry wet circuit boards.
4977	113	37826	568176	568056	jarnkm	11/26/04 1:26 PM	1.10147556E12	Re: WD40??????????	NOW....it seems that we might be getting somewhere. I might be very close to being &quot;computer illiterate&quot; but, I wasn't seeing a very close relationship between my computer and a can of WD 40. Now the smoke is beginning to clear. Thanks....
4977	114	37826	568185	443403	ketama	11/26/04 1:29 PM	1.10147574E12	Weapon of (mass) Destruction formula 40	Substance is sprayed on mechanisms and dirt sticks to it. Mechanisms gum-up, wear out and break down.
4977	115	37826	568264	443403	uglo	11/26/04 2:02 PM	1.10147772E12	Re: WD40??????????	WD 40 comes in a spray can and it is used to spray on such things as door hinges so you can open the door without any noise or sticking. In other words, it is kind of like oil on sewing machine parts, it makes them work better and keeps friction to a minimum.
4977	116	37826	568363	443403	Billba	11/26/04 2:40 PM	1.10148E12	Re: WD40??????????	Wd-40 is a wonder lubricant in an aerosol can. I believe it has over one million uses!
4977	117	37826	568490	460046	papgas	11/26/04 3:27 PM	1.10148282E12	Re: WD40 composition	Too fuss for nothing you knucklehead! Just =&gt; @ http://www.globalstoresgroup.com/page/industrial-supplies/ctgy/lubricants-and-oils and then click on MSDS WD40
4977	118	37826	568497	443403	goldengabbie	11/26/04 3:29 PM	1.10148294E12	Re: WD40??????????	WD40 Is a spray (oil,ether,acolhol) for oiling things. BUT it is the only thing I know that will cure arthritis spray where the pain is , once a day and do not wipe off, do this for one week. and the pain is gone for good. William Adams gabbie@auracbsi.com
